state,county,total_population,percent_homeowners,percent_below_poverty,percent_fair_or_poor_health,percent_frequent_physical_distress,percent_adults_with_obesity,percent_frequent_mental_distress,percent_minorities,percent_insufficient_sleep,per_capita_income,percent_no_highschool_diploma,percent_unemployed_CDC,percent_excessive_drinking_cat,population_density_per_sqmi_cat
Illinois,Logan,29820,72.74650478,12.5,14.04613496,9.968798358,36.1,11.26618677,20.8,30.69956596,23410.0,12.6,7.1,high,under_populated
Illinois,Lake,702890,73.35248823,8.9,14.0446992,9.247481967,25.4,10.65558601,36.6,31.91934019,40655.0,10.2,7.0,high,extremely_populated
Illinois,DuPage,930514,73.17676107,7.0,12.90253039,9.036441996,26.9,10.2467465,31.7,29.9222743,40547.0,7.6,6.1,high,extremely_populated
Illinois,Cook,1000000,56.8883942,16.7,17.14085106,10.21077351,28.0,10.9586183,57.1,33.40278161,32179.0,14.2,9.7,high,extremely_populated
Indiana,Ohio,6003,78.39235973,6.7,13.97531273,9.980599048,35.6,11.82303551,3.2,31.78478331,25278.0,11.4,5.9,high,under_populated
Indiana,Union,7251,71.04708363,9.5,18.23843202,12.20221159,24.7,13.9640161,3.8,33.52204418,22918.0,11.8,5.4,high,under_populated
Indiana,Warren,8309,83.86524823,7.9,16.36477265,11.30073578,34.2,12.99701016,3.3,33.61127529,28690.0,9.0,5.0,high,under_populated
Indiana,Jasper,33461,75.65196587,7.7,16.6741216,11.3327815,35.7,13.17912101,8.2,36.75695015,24839.0,13.0,6.4,high,under_populated
Indiana,Gibson,33684,77.22742374,11.0,16.50407789,11.62973568,29.1,13.19600743,5.6,32.46043503,25990.0,9.9,3.9,high,under_populated
Indiana,Steuben,34279,77.48657813,10.4,16.45855309,11.31649592,29.6,12.94375634,5.9,33.03277739,25497.0,11.5,5.9,high,over_populated
Indiana,Adams,34813,77.22026291,18.0,18.93698604,13.32932443,34.8,14.31020048,6.3,33.91897699,21173.0,15.8,5.5,high,over_populated
Indiana,Miami,36093,71.19719851,16.1,21.04936384,13.17541777,36.7,14.6441292,10.4,35.64292274,21940.0,14.9,8.9,high,over_populated
Indiana,Allen,365565,68.25714286,15.2,17.70571887,12.09434062,32.3,13.95682939,25.1,30.98714785,26058.0,10.8,7.0,high,extremely_populated
Indiana,Lake,489698,69.62041017,17.6,21.06261444,14.07184185,35.5,13.85298381,45.4,38.61434172,25483.0,12.4,9.6,high,extremely_populated
Indiana,Marion,932142,53.97322191,20.5,19.04312284,12.52649653,32.5,13.62381935,42.7,35.40824336,25208.0,14.3,9.0,high,extremely_populated
Iowa,Adams,3822,77.3308958,9.8,12.48481871,9.219160783,29.9,10.82112687,3.2,27.13089361,26991.0,7.5,3.1,high,under_populated
Iowa,Ringgold,5054,77.26589885,11.0,13.09725338,9.658904338,32.7,11.3679796,3.8,26.92177592,26175.0,9.2,5.3,high,under_populated
Iowa,Audubon,5793,77.6989167,11.6,12.98156293,9.416332165,30.1,11.06782138,2.8,27.32855661,30085.0,10.4,2.8,high,under_populated
