state,county,total_population,percent_homeowners,percent_below_poverty,percent_fair_or_poor_health,percent_frequent_physical_distress,percent_adults_with_obesity,percent_frequent_mental_distress,percent_minorities,percent_insufficient_sleep,per_capita_income,percent_no_highschool_diploma,percent_unemployed_CDC,percent_excessive_drinking_cat,population_density_per_sqmi_cat
Mississippi,DeSoto,170890,73.6863301,10.0,17.53926756,11.66628346,35.3,12.01347288,32.6,31.81753407,27135.0,10.8,6.7,low,extremely_populated
Mississippi,Harrison,198570,56.01612924,21.0,20.98271876,13.38983068,33.9,13.86795337,35.1,35.61700759,22517.0,13.6,9.6,high,extremely_populated
Mississippi,Hinds,244596,58.42849896,25.5,21.01456118,13.48621805,37.2,14.14128729,74.3,38.38539502,21672.0,13.7,10.5,low,extremely_populated
Missouri,Worth,2061,76.75233645,13.1,18.49800403,13.4858391,25.4,13.85249264,3.8,31.82586054,23292.0,10.9,4.2,high,under_populated
Missouri,Mercer,3702,76.6214178,14.6,19.81889207,13.95376958,24.1,14.37176075,3.6,32.55855297,20701.0,11.2,4.6,high,under_populated
Missouri,Knox,3997,79.97390737,20.1,20.38031837,14.10872314,35.1,14.42165141,3.5,31.66940958,21471.0,13.8,6.1,high,under_populated
Missouri,Wright,18378,69.37739989,25.3,23.87831909,16.95777521,29.2,16.81890513,4.5,32.76657072,18502.0,20.7,9.1,low,under_populated
Missouri,Pike,18475,70.73684211,15.2,20.45145448,13.67138914,37.2,13.72794538,11.6,33.27154186,19900.0,19.6,5.6,high,under_populated
Missouri,Benton,18825,83.12570781,19.3,20.32595055,14.52655903,33.5,14.61788588,4.7,33.51061485,19487.0,14.8,9.8,low,under_populated
Missouri,Perry,19152,74.55621302,7.9,17.6311203,12.62861288,37.4,13.10439203,4.3,32.4434078,24658.0,12.5,4.3,high,under_populated
Missouri,Morgan,20182,77.64023211,24.2,21.81167339,15.30915573,35.1,15.44638027,5.4,32.67495666,19555.0,22.2,9.5,low,under_populated
Missouri,Jackson,683643,58.45400544,17.2,16.76643134,12.85355309,32.1,13.52978665,37.3,36.76315601,27665.0,10.2,6.7,high,extremely_populated
Missouri,St. Louis,1000000,68.98081264,10.3,16.378972,11.3265971,27.9,12.36757652,32.6,31.83509049,36518.0,7.0,6.7,high,extremely_populated
Missouri,Kansas City,1000000,62.92853712,13.92253897,16.40207696,12.30648488,32.58180441,12.96491737,29.12614197,35.49610274,29129.56243,8.87753272,6.115614174,high,extremely_populated
Montana,Petroleum,445,67.37967914,15.5,12.73508144,10.5321808,27.0,11.51790605,0.0,27.01078402,26822.0,2.2,3.9,high,under_populated
Montana,Golden Valley,730,74.48071217,16.3,14.55901869,11.48982682,26.2,12.50094988,9.7,26.93387197,25714.0,6.6,2.5,high,under_populated
Montana,Treasure,846,67.39726027,19.1,15.03631544,11.61573063,33.0,12.32127,8.5,26.78504989,21255.0,7.8,0.0,high,under_populated
Montana,Blaine,6609,58.87931035,28.6,23.11308311,16.17540119,39.1,15.94497881,53.3,31.18426786,17080.0,10.6,14.2,high,under_populated
Montana,Powell,6928,68.42546064,10.5,14.97353277,11.41937779,31.6,11.60906904,9.6,27.37648881,23620.0,11.4,1.5,high,under_populated
Montana,Valley,7576,76.25145518,9.6,14.31509615,11.01212239,30.6,11.83109771,14.7,26.75855253,27820.0,6.5,4.6,high,under_populated
Montana,Madison,7810,74.49008906,11.3,11.88886242,9.95311351,24.1,10.69754144,5.7,25.91451267,30030.0,5.5,4.1,high,under_populated
Montana,Deer Lodge,9176,68.61219196,20.8,17.6883458,13.02427255,28.7,13.05353738,9.3,27.2881095,23192.0,10.5,3.7,high,under_populated
Montana,Gallatin,97958,61.28617363,13.5,11.24050998,9.631014651,17.0,10.64112363,7.4,23.77320526,31909.0,3.2,5.3,very high,under_populated
Montana,Missoula,113101,58.74135945,16.1,13.92346786,11.32866214,22.2,11.97593313,9.9,27.42788165,27956.0,5.0,7.0,very high,under_populated
Montana,Yellowstone,155344,68.31680123,10.4,13.05681468,10.76454604,26.8,11.60308847,12.7,29.65478616,30519.0,6.9,3.7,high,under_populated
Nebraska,McPherson,425,68.4729064,18.4,13.60959729,9.661785188,26.8,10.84684009,2.8,27.10243854,25352.0,6.5,0.0,high,under_populated
Nebraska,Arthur,437,67.87564767,8.0,13.97526135,9.85141661,34.5,10.93174942,2.5,28.02934631,21174.0,5.0,3.7,high,under_populated
Nebraska,Loup,542,83.87096774,10.0,12.5382626,9.124102386,30.6,10.21331836,2.0,26.39171025,28063.0,2.7,0.3,high,under_populated
Nebraska,Dixon,5809,78.49415837,11.9,12.5200266,8.986619973,35.9,10.14581983,13.9,28.75299198,24983.0,11.5,3.4,high,under_populated
Nebraska,Stanton,6022,83.02904564,9.5,14.7380168,9.711474501,38.1,10.56663173,7.7,29.15629295,29282.0,8.1,3.3,high,under_populated
Nebraska,Clay,6313,78.63247863,9.9,13.40948643,9.883953834,35.2,10.71543034,10.7,27.91988768,25472.0,10.4,2.8,high,under_populated
Nebraska,Howard,6365,77.38450075,9.5,12.33605153,9.223847071,37.3,10.18191807,4.2,28.58253451,28301.0,7.6,3.3,high,under_populated
Nebraska,Antelope,6421,77.15887851,11.8,13.62217529,9.803777701,32.5,10.90229099,4.6,25.39353441,27048.0,9.0,1.8,high,under_populated
Nebraska,Sarpy,172460,69.10600354,6.2,10.59367362,8.221269834,32.6,9.555054824,17.7,31.3239391,31906.0,4.6,3.7,high,extremely_populated
Nebraska,Lancaster,301707,60.02560214,14.3,13.61597829,9.544347199,28.7,10.03465337,17.3,26.62033356,28600.0,6.6,4.4,very high,extremely_populated
Nebraska,Douglas,543253,61.47450959,14.2,14.52861885,10.21822991,30.1,11.14953038,29.4,30.54084008,30548.0,10.6,4.9,high,extremely_populated
Nevada,Esmeralda,1069,58.14977974,11.9,22.36804386,14.57157849,27.5,14.77412874,15.2,35.58364538,22415.0,10.8,11.4,high,under_populated
Nevada,Eureka,1730,73.2,10.8,15.99065819,11.34818634,23.2,12.2607653,1.7,33.47445364,34031.0,8.4,3.8,high,under_populated
Nevada,Storey,3941,87.48435544,7.2,15.70571792,11.13272323,24.6,12.25773724,13.4,30.66294232,34967.0,6.0,4.1,high,under_populated
Nevada,Pershing,6690,73.61614071,16.4,19.55909836,12.07032175,34.8,12.07938355,33.8,35.55143616,17631.0,21.8,3.5,high,under_populated
Nevada,White Pine,9893,73.90195523,12.8,18.55038116,12.22869229,32.8,12.52855344,26.8,35.21575016,24186.0,16.2,7.9,high,under_populated
Nevada,Humboldt,17091,75.3149418,11.9,17.95349553,11.53645146,33.3,12.25556114,34.5,34.66507571,27580.0,17.6,7.7,high,under_populated
Nevada,Churchill,24148,65.75007638,16.3,17.09434547,12.37781833,32.4,13.28934962,25.5,36.70850365,23951.0,10.6,11.7,high,under_populated
Nevada,Nye,43198,70.98778659,17.2,19.12023206,13.00915595,33.5,13.89075082,22.7,34.78828702,23075.0,15.3,14.1,high,under_populated
Nevada,Carson City,54412,55.70099283,16.7,19.81926331,13.02803626,28.3,13.71823805,31.4,33.5165345,26553.0,12.7,9.5,high,extremely_populated
Nevada,Washoe,439914,58.03684021,15.0,15.86252765,11.77125301,23.3,12.65940842,35.8,31.71879344,29942.0,13.0,8.0,very high,under_populated
Nevada,Clark,1000000,53.13430232,15.0,19.2624033,12.21211248,25.5,12.14157488,55.0,39.24971151,26661.0,15.1,9.6,high,extremely_populated
New Hampshire,Sullivan,43051,73.13979707,9.0,13.01803767,10.36377499,33.4,12.66339723,4.5,30.9820826,30552.0,9.6,4.5,high,average_populated
New Hampshire,Merrimack,147715,71.56786474,8.6,10.92609133,9.311381724,27.6,11.18377575,6.6,30.97344779,32848.0,6.9,4.8,high,extremely_populated
New Hampshire,Rockingham,300365,77.05310994,5.1,9.280183544,8.649357367,26.6,10.81718987,6.6,29.39781371,41449.0,5.2,4.9,high,extremely_populated
New Hampshire,Hillsborough,404948,65.95414573,8.6,12.12360931,9.968759274,28.0,11.30448695,13.9,33.16710647,36012.0,8.4,5.2,high,extremely_populated
New Hampshire,Strafford,125913,66.29933262,10.1,14.28095424,10.89458727,29.8,12.38753733,8.4,32.95437749,30598.0,7.7,5.5,high,extremely_populated
New Hampshire,Coos,32219,70.91107872,13.3,14.85892909,11.2551217,33.6,12.38727352,4.7,35.58625533,25467.0,12.1,6.7,high,under_populated
New Hampshire,Cheshire,76320,69.82090438,10.9,12.8603032,10.52092997,30.0,12.22333519,5.4,31.98049623,30935.0,7.3,5.0,high,over_populated
New Hampshire,Carroll,47416,79.38300902,10.1,12.58488768,10.56663358,27.2,12.26369032,3.8,28.6862419,33481.0,6.7,5.1,high,under_populated
New Hampshire,Belknap,60392,76.91095032,10.3,12.06237751,10.39678516,28.6,11.59198207,4.8,29.3729846,32501.0,8.3,5.1,high,extremely_populated
New Hampshire,Grafton,89164,68.98020258,11.7,11.73241985,10.52240802,23.6,12.21334677,8.6,30.39053843,33964.0,7.8,4.6,high,under_populated
New Jersey,Salem,64504,70.49104902,13.8,19.15770089,13.06250454,36.5,14.10827543,24.5,38.18876847,30295.0,13.4,9.4,high,extremely_populated
New Jersey,Cape May,95404,77.5862069,10.4,17.64806047,11.59430207,28.7,12.93017912,14.2,33.61316182,34550.0,9.9,9.2,high,extremely_populated
New Jersey,Warren,107095,71.8814994,7.9,14.50176525,10.31903261,29.6,12.28385999,16.5,36.9609744,35386.0,9.6,8.3,high,extremely_populated
New Jersey,Somerset,331686,75.63326838,5.2,12.16998825,8.330990998,22.2,10.4780039,41.5,37.08831644,50034.0,5.9,5.4,low,extremely_populated
New Jersey,Mercer,371101,63.85776874,11.2,14.95828889,10.15301807,25.8,11.55206412,48.3,36.56854043,38652.0,12.3,8.6,high,extremely_populated
New Jersey,Burlington,450236,75.74503311,6.5,14.399465,9.908485064,29.3,11.8309416,31.3,37.39000879,38137.0,7.1,7.9,high,extremely_populated
New Jersey,Morris,498215,74.4073943,4.6,12.82646835,8.458503871,21.3,10.29089561,27.5,33.31275098,51182.0,6.0,5.6,high,extremely_populated
New Jersey,Passaic,507204,52.95289302,16.8,24.00583986,12.36159789,27.3,13.20082921,57.4,37.40155376,28661.0,17.5,7.0,high,extremely_populated
New Jersey,Essex,792586,44.20251892,17.2,18.70506552,11.72597253,29.1,12.26294631,68.5,44.13243905,33482.0,15.3,12.1,high,extremely_populated
New Jersey,Middlesex,831852,63.33232456,8.9,14.47957386,9.469772976,25.9,10.81384786,54.7,39.67185181,35209.0,11.0,7.0,high,extremely_populated
New Jersey,Bergen,930310,64.41438112,7.5,14.47195091,9.27295796,22.3,10.32932375,41.3,38.42541226,44978.0,8.0,5.8,high,extremely_populated
New Mexico,Harding,565,62.55924171,14.3,19.8459859,13.07653972,24.9,13.36516889,42.3,29.16717883,23339.0,11.0,6.0,low,under_populated
New Mexico,De Baca,1977,66.38297872,20.0,21.43281001,14.13431341,37.3,14.47777703,53.0,30.21481319,28232.0,14.1,6.6,low,under_populated
New Mexico,Catron,3547,92.3968139,22.9,16.33226741,12.50489713,25.5,13.57098499,21.4,27.45848758,20762.0,7.7,4.0,low,under_populated
New Mexico,Lincoln,19726,76.99296225,18.0,17.98039275,12.3263721,23.2,13.23878014,36.1,27.16526447,25230.0,10.5,6.7,low,under_populated
New Mexico,Luna,24627,60.49861496,29.5,26.68347898,17.39234606,32.5,15.90279472,68.0,30.67014789,15650.0,30.7,14.1,low,under_populated
New Mexico,Cibola,27373,69.79527911,27.4,27.81915578,17.64215145,30.9,17.11707102,79.7,34.16381444,16885.0,19.9,16.3,high,under_populated
New Mexico,San Miguel,28350,71.20970599,30.1,28.65926541,16.55528098,29.1,15.34910303,81.7,35.37332616,16990.0,18.2,4.9,low,under_populated
New Mexico,Grant,28879,70.28242939,21.5,20.33595954,13.10356098,27.4,13.17347616,53.0,31.45584575,24882.0,14.0,9.3,low,under_populated
New Mexico,Santa Fe,147320,70.30917188,15.6,16.88914766,12.26889692,14.4,12.32980753,56.9,26.31076895,34176.0,11.7,6.7,high,under_populated
New Mexico,Dona Ana,213825,61.80909713,27.6,25.12196246,15.35103624,28.4,14.76177635,71.5,31.29768814,20143.0,21.0,10.6,high,under_populated
New Mexico,Bernalillo,674777,62.82725469,18.7,18.2156842,12.68356467,23.4,13.79931401,60.1,31.14990321,27402.0,11.9,7.3,high,extremely_populated
New York,Hamilton,4697,85.67615658,11.3,13.87472855,10.50060064,29.7,12.35603038,4.6,26.93818331,27371.0,13.7,9.2,high,under_populated
New York,Schuyler,18336,77.8203724,14.6,15.25177484,11.23584216,32.2,12.97596979,4.7,35.1313919,25004.0,10.0,7.3,high,under_populated
New York,Yates,25106,79.21142984,13.9,14.67449208,10.91306233,29.5,12.75130853,4.7,28.72441405,26001.0,14.8,7.2,high,under_populated
New York,Chemung,87742,67.92831583,15.9,14.74862208,10.80444325,36.0,12.55554114,13.4,36.54554528,26196.0,9.8,5.6,high,extremely_populated
New York,Wayne,91874,75.94510191,11.9,15.4466836,10.54313065,36.3,12.03411008,9.6,36.19293679,26209.0,10.0,7.0,high,extremely_populated
New York,Steuben,98151,71.77413334,15.1,15.95104426,11.06623676,33.7,12.76728672,6.1,34.85211222,26830.0,10.4,7.6,high,under_populated
New York,Putnam,99408,82.41168537,5.2,11.98060452,8.940734474,23.2,10.54668026,19.2,29.77340898,41993.0,7.3,6.2,high,extremely_populated
New York,Tompkins,104268,55.30437878,20.1,13.56594945,10.70828982,22.7,12.65669979,22.2,31.8031075,28888.0,5.5,5.4,high,extremely_populated
New York,Queens,1000000,44.62574785,14.6,18.51035865,10.57888267,23.3,10.82165525,74.4,39.18779715,27631.0,19.3,7.8,high,extremely_populated
New York,Kings,1000000,30.00769833,22.7,18.13073202,11.16858119,22.6,12.15432856,64.2,41.24733149,28134.0,20.0,9.0,high,extremely_populated
New York,New York City,1000000,38.34889811,20.27961716,17.48272541,11.06470475,21.51652914,11.72353348,67.75064509,38.55668083,34099.49507,19.45275022,8.738276648,high,extremely_populated
North Carolina,Tyrrell,4128,71.7964439,25.3,23.02357292,15.07778419,43.3,14.43306351,48.0,36.96125143,17042.0,27.0,12.9,low,under_populated
North Carolina,Hyde,5629,68.06105144,22.4,18.72912883,12.66969053,36.4,12.52668009,39.0,35.14716589,18770.0,19.4,14.3,low,under_populated
North Carolina,Graham,8651,83.97201947,19.3,18.24160709,13.84887831,43.0,14.25337416,12.2,32.71153816,18783.0,21.0,9.5,low,under_populated
North Carolina,Halifax,52849,62.66811896,26.8,24.19346263,15.39056261,43.7,15.06983469,61.1,36.60708327,20134.0,23.2,11.6,low,under_populated
North Carolina,Edgecombe,54669,59.3654953,25.7,24.72576977,15.64535638,38.0,15.24041142,63.3,39.57285035,18009.0,22.6,12.5,low,over_populated
North Carolina,Pender,56358,80.49251126,18.7,16.82226705,12.18645546,30.6,12.59415918,25.5,32.35905869,24031.0,14.5,9.9,high,under_populated
North Carolina,Columbus,57015,71.91338653,23.0,21.97416485,14.43473314,46.2,14.28444809,40.1,38.23928478,21133.0,19.3,8.5,low,under_populated
North Carolina,Granville,58341,73.63290537,16.5,17.05486431,12.13700357,37.2,12.33687524,41.6,35.78493446,23563.0,18.4,6.9,high,over_populated
North Carolina,Guilford,511815,58.91994811,17.6,16.26130367,11.83589933,33.4,12.49483447,48.0,34.28200173,27531.0,11.6,7.6,high,extremely_populated
North Carolina,Wake,998576,63.90762565,10.8,13.39175989,10.0260105,25.1,10.78713431,39.1,31.65063244,35752.0,7.7,5.7,high,extremely_populated
North Carolina,Mecklenburg,1000000,56.47410704,14.2,15.35144379,11.3045594,28.0,11.88356949,51.5,32.35860752,34091.0,10.4,7.9,high,extremely_populated
North Dakota,Slope,665,81.45896657,10.1,12.43932278,8.324819258,27.1,9.461087256,6.8,27.35226002,36168.0,11.4,0.0,high,under_populated
North Dakota,Billings,936,73.24675325,11.0,12.11968477,8.094248897,29.5,8.877180895,5.2,28.43598869,40549.0,9.9,3.0,high,under_populated
North Dakota,Sheridan,1395,80.11611031,16.9,14.7373132,9.510738803,37.4,10.79936158,2.7,27.73493006,31244.0,13.1,3.9,high,under_populated
North Dakota,LaMoure,4111,74.84831771,9.6,13.61231585,8.76105122,31.5,9.851867925,2.5,25.58506303,36493.0,13.7,1.8,high,under_populated
North Dakota,Wells,4179,79.69387755,5.2,12.73521554,8.334290905,36.1,9.464936496,2.3,26.38369991,30260.0,15.2,2.2,high,under_populated
North Dakota,Dunn,4284,77.73058252,11.7,12.98727906,8.635007814,33.0,9.632468362,16.1,27.76981848,40102.0,9.0,3.8,high,under_populated
North Dakota,Pierce,4373,72.01858544,18.3,15.02771647,9.739498012,36.2,10.72854765,3.4,26.80870647,27926.0,11.7,1.6,high,under_populated
North Dakota,Sioux,4431,45.22522523,38.0,33.72828227,19.07687659,39.0,18.0028929,87.3,37.31058822,15338.0,14.3,19.7,high,under_populated
North Dakota,Grand Forks,69793,48.56859176,17.7,14.85710395,9.422635105,30.9,11.06270077,14.3,31.32283425,29376.0,6.3,3.5,very high,under_populated
North Dakota,Burleigh,90560,68.46183061,7.7,12.02678986,8.712254908,30.7,8.911788821,9.5,24.43247567,36093.0,6.6,2.2,high,under_populated
North Dakota,Cass,166852,52.83606226,11.8,13.46947229,8.892595631,31.2,9.762406028,12.1,26.62814232,32485.0,5.5,2.9,very high,over_populated
Ohio,Vinton,13128,74.46683624,21.3,20.24708028,13.99428759,36.7,15.1874586,3.1,37.41751342,19431.0,19.2,10.7,high,under_populated
Ohio,Noble,14429,83.99436279,11.9,15.79766822,11.53609192,38.9,12.94009102,8.6,36.68059619,21188.0,15.9,6.9,high,under_populated
Ohio,Monroe,14442,75.64339781,18.8,18.727972,12.95269735,37.0,14.36283514,2.5,36.28521707,22100.0,12.5,6.5,high,under_populated
Ohio,Seneca,55711,71.64234251,15.6,15.55995978,12.02453677,34.2,13.36690888,9.5,38.42177312,23900.0,9.2,6.8,high,over_populated
Ohio,Pickaway,56804,75.17741281,12.2,16.94431856,11.7104658,33.9,12.5693294,6.9,38.30255792,24779.0,12.9,6.0,high,over_populated
Ohio,Huron,58704,70.279965,12.9,17.75208948,12.26401975,38.4,13.44938931,9.2,38.11532581,23698.0,12.3,6.7,high,extremely_populated
Ohio,Sandusky,59870,71.35217724,13.2,18.1630745,12.18805959,34.6,13.16556775,14.8,34.6944556,24467.0,10.7,6.3,high,extremely_populated
Ohio,Knox,60878,71.68380463,15.6,15.43404865,11.36407049,30.8,13.02663991,4.4,33.52905626,23426.0,10.4,6.1,high,extremely_populated
Ohio,Hamilton,805965,57.7784249,17.8,18.29801466,12.66057524,29.1,14.08806337,33.6,38.85345385,31303.0,9.9,7.9,high,extremely_populated
Ohio,Franklin,1000000,53.4008187,17.1,16.55230393,11.89237488,29.9,13.71909247,34.9,36.86636859,30098.0,9.6,6.3,high,extremely_populated
Ohio,Cuyahoga,1000000,58.44900294,18.5,18.48035718,12.97722847,30.4,14.03196846,40.0,35.63295033,29143.0,11.5,9.7,high,extremely_populated
Oklahoma,Cimarron,2269,73.51129363,15.7,21.65583333,13.63661944,28.4,14.70259028,24.6,31.33644515,26309.0,15.5,2.0,low,under_populated
Oklahoma,Harmon,2813,72.9501268,16.0,22.21625937,13.37735287,31.8,14.11234598,40.1,32.75265466,21227.0,23.0,9.0,low,under_populated
Oklahoma,Roger Mills,3732,72.92899408,12.8,17.79278358,12.49686464,34.4,13.98885762,15.0,32.08604408,27869.0,8.1,1.5,low,under_populated
Oklahoma,Woodward,21111,71.15093039,12.8,16.4346019,11.4947972,29.8,12.50170586,19.0,32.58122736,27308.0,12.6,4.3,low,under_populated
Oklahoma,Texas,21499,65.11524164,13.4,23.65779077,13.15092985,31.8,13.34307358,53.6,33.87551589,22923.0,28.3,2.9,low,under_populated
Oklahoma,Adair,22161,68.57401188,30.1,28.54465175,18.64478665,47.7,18.90252817,58.9,39.48664479,16018.0,20.5,6.0,low,under_populated
Oklahoma,Beckham,23290,64.98280878,14.0,18.53666773,12.51862571,34.8,13.50453305,23.5,33.99519518,25269.0,15.5,3.3,low,under_populated
Oklahoma,Seminole,25403,69.58360442,22.8,23.99334014,15.21385316,34.1,16.29050593,34.5,34.83700432,19374.0,16.2,7.9,low,under_populated
Oklahoma,Cleveland,271818,64.00513357,12.5,15.51581038,11.67568938,34.6,13.07682704,26.6,33.13305668,28378.0,8.7,4.9,low,extremely_populated
Oklahoma,Tulsa,629823,59.02992324,15.9,16.63444396,12.01860178,31.2,14.54983936,36.4,31.81725009,28970.0,11.2,6.2,low,extremely_populated
Oklahoma,Oklahoma,764698,58.64880761,17.7,19.21280447,13.29981804,30.8,14.45857105,42.6,32.92549423,28059.0,13.6,5.6,low,extremely_populated
Oregon,Wheeler,1369,73.37367625,20.2,16.75764243,13.15234488,26.9,14.8461372,5.7,29.00949619,22723.0,8.4,10.5,low,under_populated
Oregon,Sherman,1705,64.67391304,17.7,13.55213021,11.0352044,28.6,13.07571321,11.7,29.14638343,32223.0,6.7,7.2,high,under_populated
Oregon,Gilliam,1913,63.3254717,11.2,13.85749511,11.36830141,35.8,13.29503144,13.4,28.96127442,23360.0,10.1,10.6,high,under_populated
Oregon,Malheur,30474,58.92681002,24.8,20.87213403,14.17246934,36.2,15.08953794,38.0,32.49738897,17150.0,19.9,9.6,high,under_populated
Oregon,Clatsop,37660,61.70961659,14.0,14.68538512,11.43232031,29.6,13.20936139,13.8,30.7191577,27071.0,8.1,6.9,high,under_populated
Oregon,Lincoln,46685,64.49076267,18.6,16.37081515,13.15351501,36.0,14.78410674,17.1,29.35920072,24593.0,10.7,6.6,high,under_populated
Oregon,Columbia,49645,74.17599503,13.4,13.5540601,10.78056055,30.6,12.92056014,10.6,32.71989698,27449.0,9.6,8.6,high,under_populated
Oregon,Coos,62944,64.79354354,18.1,16.32785302,12.74944691,38.6,14.50298003,14.4,30.01472796,24261.0,11.1,10.7,high,under_populated
Oregon,Clackamas,394967,70.53185467,9.2,11.78893142,10.1662412,28.5,12.1061858,16.8,28.71218259,35506.0,6.7,6.7,high,extremely_populated
Oregon,Washington,564088,61.13382015,11.1,12.22204583,9.685358836,29.8,11.38139196,32.3,30.16085495,33433.0,9.2,6.6,high,extremely_populated
Oregon,Multnomah,778193,54.17339611,17.1,14.78115376,10.61478456,23.6,13.53928091,28.9,30.0256715,33255.0,9.3,7.8,high,extremely_populated
Pennsylvania,Cameron,4807,72.89426523,12.7,15.95044048,11.96271553,25.0,13.46696103,3.0,33.25644837,25716.0,12.8,4.9,high,under_populated
Pennsylvania,Sullivan,6302,82.13891952,12.0,15.44635825,11.52745332,30.0,13.02915456,6.5,33.96298823,26154.0,11.0,8.9,high,under_populated
Pennsylvania,Forest,7493,85.89822195,12.7,18.09198572,11.89017003,34.3,12.35857958,40.5,35.7661033,13283.0,19.2,4.5,high,under_populated
Pennsylvania,Crawford,87027,72.99782932,14.5,16.08107981,12.28482964,37.1,13.91475533,4.8,33.12230558,23578.0,11.7,6.8,high,average_populated
Pennsylvania,Indiana,87491,70.31747905,17.8,17.2203629,12.52593813,33.1,13.85290116,6.0,34.59914286,23886.0,11.0,7.7,high,over_populated
Pennsylvania,Lawrence,88528,73.96428862,14.3,16.80487332,12.04265952,36.6,13.37108739,7.8,35.49916528,25614.0,10.5,6.5,high,extremely_populated
Pennsylvania,Northumberland,93590,70.89594194,14.6,18.43583152,12.44825485,40.2,14.13812144,6.8,37.23910509,23512.0,14.2,6.8,high,extremely_populated
Pennsylvania,Adams,101759,77.23668443,9.4,15.31565933,11.13009662,35.6,12.50774525,10.2,34.65674328,28515.0,12.2,5.5,high,extremely_populated
Pennsylvania,Montgomery,815876,71.80593026,6.6,11.75954019,9.454586216,25.5,11.32032185,22.9,33.42034832,42995.0,6.1,5.9,high,extremely_populated
Pennsylvania,Allegheny,1000000,64.72600193,12.7,12.73156789,10.02918225,28.1,11.83399245,20.6,36.4229018,33830.0,6.1,6.4,high,extremely_populated
Pennsylvania,Philadelphia,1000000,52.97724529,25.9,21.65549441,14.09964477,27.6,14.74882192,64.7,41.0117436,23696.0,17.4,12.5,high,extremely_populated
Rhode Island,Washington,126319,74.54134512,10.0,12.1841856,9.621470507,24.3,11.88620063,8.5,32.77442114,37692.0,6.5,6.6,high,extremely_populated
Rhode Island,Bristol,49228,69.64148724,7.1,11.42361335,9.223543406,23.2,11.95796894,6.9,30.53078975,40998.0,9.6,5.0,high,extremely_populated
Rhode Island,Newport,82714,62.04105972,9.2,12.05678837,10.0431936,25.3,11.64936374,13.8,31.09384773,42086.0,6.9,6.5,high,extremely_populated
Rhode Island,Kent,164886,69.87491465,8.2,14.33040384,10.69697269,29.8,14.06280356,10.1,34.78919535,35323.0,8.6,7.3,high,extremely_populated
Rhode Island,Providence,631344,53.48845997,17.2,17.30625796,12.34394701,29.1,13.63532449,36.8,37.94676903,27809.0,16.8,8.5,high,extremely_populated
South Carolina,Allendale,9589,67.31343284,29.7,26.67764436,15.80903982,39.9,16.20962253,77.3,41.53136847,12649.0,25.4,17.7,low,under_populated
South Carolina,McCormick,9806,76.63221578,19.6,20.01428462,12.56539535,34.2,13.37261871,51.1,35.09677661,22454.0,19.2,13.9,low,under_populated
South Carolina,Calhoun,14886,80.99983663,19.3,19.35286656,12.21130678,38.6,13.62607262,46.5,35.7452515,22964.0,16.1,8.5,low,under_populated
South Carolina,Chesterfield,46083,70.99627302,24.5,21.83341851,14.30657089,37.7,15.07611348,39.0,38.15790482,19088.0,23.4,9.5,low,under_populated
South Carolina,Cherokee,56274,69.11107839,22.7,19.74734721,13.45458098,42.6,15.03295901,26.7,37.63257893,19940.0,21.8,8.7,low,extremely_populated
South Carolina,Georgetown,60804,77.09370395,19.1,18.53880992,12.26520784,34.0,13.87533413,37.0,35.65795107,26601.0,14.0,9.5,low,under_populated
South Carolina,Kershaw,63090,82.16486127,15.9,16.1058857,11.49092209,38.8,13.24062711,30.9,37.62987394,23149.0,14.1,8.3,low,average_populated
South Carolina,Laurens,66442,70.40554921,20.3,21.31371985,13.60860157,36.1,15.28186106,31.7,37.8700663,20417.0,20.6,9.0,low,average_populated
South Carolina,Charleston,380673,61.14313467,16.3,14.89329425,10.59069039,26.7,13.10897468,36.4,32.64143325,33700.0,9.8,6.7,high,extremely_populated
South Carolina,Richland,401743,58.84544505,16.6,17.43024455,11.50542444,32.7,13.18852092,56.2,36.4893992,26852.0,9.4,8.5,high,extremely_populated
South Carolina,Greenville,482191,66.50311091,14.3,15.40134188,10.75398742,28.5,12.05001923,30.7,33.89176976,28065.0,13.1,6.4,low,extremely_populated
South Dakota,Jones,767,80.39702233,10.3,10.72569616,8.69228538,27.0,9.40248382,4.8,24.98963282,25229.0,8.3,2.3,high,under_populated
South Dakota,Harding,1277,69.16058394,13.1,11.28319123,9.047429772,39.8,9.425607251,4.8,25.39572442,27239.0,7.0,1.4,high,under_populated
South Dakota,Hyde,1440,79.26421405,11.0,11.58549957,9.459324736,25.4,9.720989607,15.2,25.01053889,28343.0,7.0,2.2,high,under_populated
South Dakota,Brule,5312,63.07969383,15.1,11.98089076,9.731837469,29.2,10.06250001,14.7,25.59970745,24496.0,13.8,2.4,high,under_populated
South Dakota,Tripp,5475,73.27514547,21.6,14.07827962,10.79850709,35.6,11.01116109,18.1,25.55604919,26270.0,12.5,0.6,high,under_populated
South Dakota,Walworth,5538,75.08710801,10.8,11.41365626,9.265301433,31.6,9.519270326,19.8,24.67449229,29199.0,12.2,3.4,high,under_populated
South Dakota,Day,5588,73.37437476,18.5,13.23759606,10.23283348,36.0,10.14830582,13.6,24.87470145,28811.0,11.1,1.9,low,under_populated
South Dakota,McCook,5616,73.69850611,10.4,10.50287239,8.629291698,36.3,9.00271855,4.9,24.21494609,28424.0,10.7,2.4,high,under_populated
